taxonID	locationID	locality	occurrenceStatus	establishmentMeans	startDayOfYear	endDayOfYear	source	occurrenceRemarks
134984	MRGID:7130	European Marine Waters	present				O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	
134984	MRGID:4812	Scheldt Estuary	present				Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	
134984		Bulgarian Exclusive Economic Zone	present				Species composition of meso- and macrozooplankton of the Black Sea	
134984		Ukrainian Exclusive Economic Zone	present				Species composition of meso- and macrozooplankton of the Black Sea	
134985	MRGID:7130	European Marine Waters	present				O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	
134985	MRGID:4812	Scheldt Estuary	present				Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	
134985	MRGID:90	Nieuwpoort	present				De Ridder, M. (1963). Recherches sur les Rotifières des eaux saumâtres: 10. Les Rotifières planktoniques de Nieuport et environs [Research on Rotifera of brackish waters: 10. The planktonic Rotifera of Nieuwpoort and surroundings]. <i>Med. K. Belg. Inst. Nat. Wet. 39(4)</i>: 1-39	
134985	MRGID:25	Oostende	present				De Ridder, M. (1963). Recherches sur les Rotifières des eaux saumâtres: 10. Les Rotifières planktoniques de Nieuport et environs [Research on Rotifera of brackish waters: 10. The planktonic Rotifera of Nieuwpoort and surroundings]. <i>Med. K. Belg. Inst. Nat. Wet. 39(4)</i>: 1-39	
134985	MRGID:25	Oostende	present		1965	1965	De Pauw, N., 1969. Contribution à l'étude du plancton dans le port d'Ostende. Biol. Jb. 37 : 186-262.	Ostend harbour
134985		Portuguese Exclusive Economic Zone	present				Ramos, M. (2010). IBERFAUNA. The Iberian Fauna Databank. 	
134985		Spanish Exclusive Economic Zone	present				Ramos, M. (2010). IBERFAUNA. The Iberian Fauna Databank. 	
134986	MRGID:7130	European Marine Waters	present				O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	
134986	MRGID:90	Nieuwpoort	present				De Ridder, M. (1963). Recherches sur les Rotifières des eaux saumâtres: 10. Les Rotifières planktoniques de Nieuport et environs [Research on Rotifera of brackish waters: 10. The planktonic Rotifera of Nieuwpoort and surroundings]. <i>Med. K. Belg. Inst. Nat. Wet. 39(4)</i>: 1-39	
134986	MRGID:25	Oostende	present				De Ridder, M. (1963). Recherches sur les Rotifières des eaux saumâtres: 10. Les Rotifières planktoniques de Nieuport et environs [Research on Rotifera of brackish waters: 10. The planktonic Rotifera of Nieuwpoort and surroundings]. <i>Med. K. Belg. Inst. Nat. Wet. 39(4)</i>: 1-39	
134986	MRGID:14628	Knokke	present				De Ridder, M. (1963). Recherches sur les Rotifières des eaux saumâtres: 10. Les Rotifières planktoniques de Nieuport et environs [Research on Rotifera of brackish waters: 10. The planktonic Rotifera of Nieuwpoort and surroundings]. <i>Med. K. Belg. Inst. Nat. Wet. 39(4)</i>: 1-39	
134986		Ukrainian Exclusive Economic Zone	present				Species composition of meso- and macrozooplankton of the Black Sea	
134986	MRGID:14	Belgium	present				Segers, H. (1998). Notes on the taxonomy and distribution of the interstitial Rotifera from a dune pool. Belg. J. of Zool. 128(1): 35-47	Habitat= dunes (pool)
134986		New Zealand Exclusive Economic Zone	present				Shiel, R.; Smales, L.; Sterrer, W.; Duggan, I.C.; Pichelin, S.; Green, J.D. (2009). Phylum Gnathifera: lesser jaw worms, rotifers, thorny-headed worms, in: Gordon, D.P. (Ed.) (2009). New Zealand inventory of biodiversity: 1. Kingdom Animalia: Radiata, Lophotrochozoa, Deuterostomia. pp. 137-158.	
134986	MRGID:4288	Gulf of Mexico	present				Felder, D. L.; Camp, D. K. (eds.). (2009). Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. <em>Texas A&M Press, College Station, Texas.</em> 	
134986		Portuguese Exclusive Economic Zone	present				Ramos, M. (2010). IBERFAUNA. The Iberian Fauna Databank. 	
134986		Spanish Exclusive Economic Zone	present				Ramos, M. (2010). IBERFAUNA. The Iberian Fauna Databank. 	
134988	MRGID:7130	European Marine Waters	present				O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	
134988	MRGID:4812	Scheldt Estuary	present				Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	new occurrence
134988	MRGID:90	Nieuwpoort	present				De Ridder, M. (1963). Recherches sur les Rotifières des eaux saumâtres: 10. Les Rotifières planktoniques de Nieuport et environs [Research on Rotifera of brackish waters: 10. The planktonic Rotifera of Nieuwpoort and surroundings]. <i>Med. K. Belg. Inst. Nat. Wet. 39(4)</i>: 1-39	
134988		Ukrainian Exclusive Economic Zone	present				Species composition of meso- and macrozooplankton of the Black Sea	
134988	MRGID:14	Belgium	present				Segers, H. (1998). Notes on the taxonomy and distribution of the interstitial Rotifera from a dune pool. Belg. J. of Zool. 128(1): 35-47	Habitat= dunes (pool)
134988		Portuguese Exclusive Economic Zone	present				Ramos, M. (2010). IBERFAUNA. The Iberian Fauna Databank. 	
134988		Spanish Exclusive Economic Zone	present				Ramos, M. (2010). IBERFAUNA. The Iberian Fauna Databank. 	
134989	MRGID:7130	European Marine Waters	present				O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	
