taxonID	isMarine	isFreshwater	isTerrestrial	isExtinct
387366	1	1	0	0
438929	0	1	0	0
438930	0	1	0	0
467609	0	1	0	0
467610	0	1	0	0
467611	0	1	0	0
467612	0	1		0
468015	1	1	0	0
468128	1	1	0	0
478579	0	1	0	0
478580	0	1	0	0
478632	0	1	0	0
479052	0	1	0	0
479053	0	1	0	0
479054	0	1	0	0
479140	0	1	0	0
479241	0	1	0	0
479362	0	1	0	0
479363	0	1	0	0
479366	0	1	0	0
479368	0	1	0	0
479372	0	1	0	0
479373	0	1	0	0
479374	0	1	0	0
479375	0	1	0	0
480129	0	1	0	0
480130	0	1	0	0
480131	0	1	0	0
480132	0	1	0	
480133	0	1	0	0
480134	0	1	0	0
480135	0	1	0	0
480136	0	1	0	0
480137	0	1	0	0
480138	0	1	0	0
480139	0	1	0	0
480148	0	1	0	0
480149	0	1	0	0
480150	0	1	0	0
480151	0	1	0	0
480152	0	1	0	0
480153	0	1	0	0
480154	0	1	0	0
555104	0	1	0	0
558412	1	1	0	0
559368	1	1	0	0
559428	1	1	0	0
559437	1	1	0	0
570695	1	1	0	0
570703	1	1	0	0
572871	1	1	0	0
573752	1	1	0	0
574061	0	1	0	0
574062	0	1	0	
574410	1	1	0	0
576769	1	1	0	0
576822	1	1	0	0
577279	0	1	0	0
577280	0	1	0	0
577281	0	1	0	0
577282	0	1	0	0
577283	0	1	0	0
577285	0	1	0	0
577286	0	1	0	0
578744	1	1	0	0
586846	1	1	0	0
590943		1		
594425	0	1	0	0
595036	1	1	0	0
596428	1	1	0	0
597755		1		
597817	0	1	0	0
597818	0	1	0	0
599869	0	1	0	0
605498		1		
607858	0	1	0	0
607950	1	1	0	0
608073	1	1	0	0
710067		1		
711540		1		
711541		1		
714973	1	1	0	0
730998	1	1	0	0
732696	0	1	0	
741256	1	1	0	0
742419	1	1	0	0
746225	0	1	0	0
814734	1	1	0	0
815168	1	1	0	0
815477	0	1	0	0
815639	0	1	0	0
815806	1	1	0	0
815807	1	1	0	0
827523	0	1	0	0
834461	0	1	0	
845508	1	1	0	0
845842	1	1	0	0
848612		1		
848613		1		
850624		1		
863013		1		
