taxonID	identifier	bibliographicCitation	title	creator	date	description	type
167121		Annandale, N. 1908a. Notes on Freshwater Sponges. VIII. Preliminary Notice of a Collection from the Western India, with descriptions of two New Species. Records of the Indian Museum 2(1): 25-28.	Notes on Freshwater Sponges. VIII. Preliminary Notice of a Collection from the Western India, with descriptions of two New Species	Annandale, N.	1908		original description
167122		Weltner, W. (1895). Spongillidenstudien III. Katalog und Verbreitung der bekannten Süsswasserschwämme. <em>Archiv für Naturgeschichte.</em> 61(1):114-144.	Spongillidenstudien III. Katalog und Verbreitung der bekannten Süsswasserschwämme	Weltner, W.	1895		original description
167123		Manconi R., Pronzato R., 2004. The genus Corvospongilla Annandale (Haplosclerida, Spongillina, Spongillidae) with description of a new species from eastern Mesopotamia, Iraq. Arch. Hydrobiol. Suppl., Monogr. Stud. 151(1-2): 161-189.  	The genus Corvospongilla Annandale (Haplosclerida, Spongillina, Spongillidae) with description of a new species from eastern Mesopotamia, Iraq. Arch. Hydrobiol. Suppl., Monogr. Stud. 151(1-2): 161-189.	Manconi R., Pronzato R.,	2004		original description
167124		Manconi, R.; Pronzato, R. 2009. Atlas of African freshwater sponges. Studies in Afrotropical Zoology  Tervuren, Royal Museum for Central Africa, vol. 295, 214 pp 	Atlas of African freshwater sponges. Studies in Afrotropical Zoology  Tervuren, Royal Museum for Central Africa, vol. 295, 214 pp	Manconi, R.; Pronzato, R.	2009		source of synonymy
167124		Weltner, W. 1913. Süsswasserschwämme (Spongillidae) der Deutschen Zentralafrika - Expedition 1907-1908. Wissenschaftliche Ergebnisse der Deutschen Antarktischen Expedition 1938-39. Hamburg 12: 475-485.	Süsswasserschwämme (Spongillidae) der Deutschen Zentralafrika - Expedition 1907-1908. Wissenschaftliche Ergebnisse der Deutschen Antarktischen Expedition 1938-39	Weltner, W.	1913		original description
167125		Potts, E. 1886. Freshwater Sponges from Newfoundland: A new Species. Proceedings of the Academy of Natural Sciences of Philadelphia 1886: 227-230.	Freshwater Sponges from Newfoundland: A new Species. Proceedings of the Academy of Natural Sciences of Philadelphia 1886: 227-230.	Potts, E.	1886		original description
167126		Annandale, N. 1913a. Notes on Freshwater Sponges. XV. Sponges from shells of the genus <i>Aetheria</i>. Records of the Indian Museum 9: 237-240.	Notes on Freshwater Sponges. XV. Sponges from shells of the genus <i>Aetheria</i	Annandale, N.	1913		original description
167126		Manconi, R.; Pronzato, R. 2009. Atlas of African freshwater sponges. Studies in Afrotropical Zoology  Tervuren, Royal Museum for Central Africa, vol. 295, 214 pp 	Atlas of African freshwater sponges. Studies in Afrotropical Zoology  Tervuren, Royal Museum for Central Africa, vol. 295, 214 pp	Manconi, R.; Pronzato, R.	2009		additional source
167126		Manconi R., Pronzato R., 2004. The genus Corvospongilla Annandale (Haplosclerida, Spongillina, Spongillidae) with description of a new species from eastern Mesopotamia, Iraq. Arch. Hydrobiol. Suppl., Monogr. Stud. 151(1-2): 161-189.  	The genus Corvospongilla Annandale (Haplosclerida, Spongillina, Spongillidae) with description of a new species from eastern Mesopotamia, Iraq. Arch. Hydrobiol. Suppl., Monogr. Stud. 151(1-2): 161-189.	Manconi R., Pronzato R.,	2004		additional source
167127		Bonetto, A.A.; Ezcurra De Drago, I.D. (1966). Nuevos aportes alconocimiento de las esponjas argentinas. <em>Physis.</em> 26(71): 129-140.	Nuevos aportes alconocimiento de las esponjas argentinas	Bonetto, A.A.; Ezcurra De Drago, I.D. 	1966		original description
167128		Annandale, N. 1910a. Notes on Freshwater Sponges. XII. Description of a new species from Cape Comorin. Records of the Indian Museum 5: 31.	Notes on Freshwater Sponges. XII. Description of a new species from Cape Comorin	Annandale, N.	1910		original description
167129		Annandale, N. 1914b. Spongillidae. <i>In</i>: Michaelsen, J.W., Beiträge zur Kenntnis der Land- und Susswasserfauna Deutsch-Sudwestafrikas.(Hamburg): 235-249, pl. VI.	Spongillidae. <i>In</i>: Michaelsen, J.W., Beiträge zur Kenntnis der Land- und Susswasserfauna Deutsch-Sudwestafrikas.(Hamburg): 235-249, pl. VI.	Annandale, N.	1914		original description
167129		Manconi, R.; Pronzato, R. 2009. Atlas of African freshwater sponges. Studies in Afrotropical Zoology  Tervuren, Royal Museum for Central Africa, vol. 295, 214 pp 	Atlas of African freshwater sponges. Studies in Afrotropical Zoology  Tervuren, Royal Museum for Central Africa, vol. 295, 214 pp	Manconi, R.; Pronzato, R.	2009		additional source
167131		Kirkpatrick, R. 1906. Zoological Results of the Third TanganyikaExpedition conducted by Dr. W.A. Cunnington, 1904-1905. Report on the Porifera, with notes on species from the Nile and Zambesi. Proceedingsof the Zoological Society of London 1: 218-227, pls XV-XVII.	Zoological Results of the Third TanganyikaExpedition conducted by Report on the Porifera, with notes on species from the Nile and Zambesi	Kirkpatrick R Dr W A Cunnington	1906		original description
167131		Manconi, R.; Pronzato, R. 2009. Atlas of African freshwater sponges. Studies in Afrotropical Zoology  Tervuren, Royal Museum for Central Africa, vol. 295, 214 pp 	Atlas of African freshwater sponges. Studies in Afrotropical Zoology  Tervuren, Royal Museum for Central Africa, vol. 295, 214 pp	Manconi, R.; Pronzato, R.	2009		additional source
167131		Manconi R., Pronzato R., 2004. The genus Corvospongilla Annandale (Haplosclerida, Spongillina, Spongillidae) with description of a new species from eastern Mesopotamia, Iraq. Arch. Hydrobiol. Suppl., Monogr. Stud. 151(1-2): 161-189.  	The genus Corvospongilla Annandale (Haplosclerida, Spongillina, Spongillidae) with description of a new species from eastern Mesopotamia, Iraq. Arch. Hydrobiol. Suppl., Monogr. Stud. 151(1-2): 161-189.	Manconi R., Pronzato R.,	2004		additional source
191565		Lindenschmidt, M.J. 1950. A New Species of Freshwater Sponge. Transactions of the American Microscopical Society 69(2): 214-216.	A New Species of Freshwater Sponge	Lindenschmidt, M. J.	1950		original description
366240		Lindenschmidt, M.J. 1950. A New Species of Freshwater Sponge. Transactions of the American Microscopical Society 69(2): 214-216.	A New Species of Freshwater Sponge	Lindenschmidt, M. J.	1950		original description
